,Scenario,Shapes,Data_Type,Data_Precision,Data_Bias,Data_Species.ID,Data_Spatial,Data_Temporal,Res_Time,Res_Funding,Res_Capacity,Res_analysts_stocks
1,No constraints,21,0,0,0,0,0,0,0,0,0,0
2,Resources constraints,21,0,0,0,0,0,0,3,3,3,3
3,Data constraints,21,3,3,3,3,3,3,0,0,0,0
4,Data & Resource constraints,21,3,3,3,3,3,3,3,3,3,3
5,RF_USWC,8,1.5,2,1.5,1.5,1.5,1.5,2.5,1.5,0,2.5
6,NM,8,2.5,2,2,2,0,3,0,3,2,2
7, FJ,8,2.5,2,2.5,2,3,3,1,3,2,3
8, DMF_NZ,8,2.5,0,0,0,2,2,2,1,0,1
9, KR_C,8,3,3,3,3,3,3,0,3,3,3
10, SA_L,8,2,1,0,0,0,0,0,0,0,0
11, SC_WA,8,1.5,1.5,2,0,1,2,2,1,1,2
12, NS_WA,8,2,3,2,1.5,0,2,2,2,1,3
13, NF_WA,8,1.5,2,2,1.5,1.5,2.5,2,2.5,1,3
14, RF_ALSKA,8,1.5,2,1.5,1.5,2,0,1,1,0,1.5
15, EG_SESSF,8,1,2,3,0,2,2,0,0,0,0
16, TNF,8,3,3,3,3,3,3,0,3,3,3
17, DS_SESSF,8,2,1.5,2,3,0,2,0,0,0,0
18,TF_SESSF,8,0,0,0,0,1,0,0,0,0,0
19,NSW_HG_Pipi,8,1,1,2,0,1,2.5,1,1.5,1,1.5
20,NSW_HG_SC,8,2.5,3,2,0,2,2,1,1.5,1.5,2
21,NSW_HG_BW,8,1.5,1,1.5,0.5,1,2,1,1.5,1.5,2
22,NSW_HG_GN,8,1.5,1,2,0,2,2,1,1.5,1.5,2
23,QC_BAH,8,2,2,2,0,1,2,3,3,0.5,3
24,CHITA_PERU,8,2.5,2,3,0,2.5,2,1.5,1.5,0,1.5
